date,tavg,tmin,tmax,prcp,wspd,pres,tsun,city
5/1/2021,30.4,23.3,37.5,144,,1003.1,11580,Delhi
6/1/2021,32,25.8,38.1,35,,998.9,11700,Delhi
7/1/2021,31.4,26.4,36.5,507,,998.1,10320,Delhi
8/1/2021,30.8,26.3,35.2,214,,1000.5,9480,Delhi
9/1/2021,29.4,25.5,33.2,413,,1003.7,9360,Delhi
10/1/2021,26.8,20.5,33.1,123,,1008.6,15360,Delhi
11/1/2021,19.9,11.9,27.8,0,,1013.7,10260,Delhi
12/1/2021,15.3,8.2,22.4,9,,1018.2,7200,Delhi
1/1/2022,13.1,8.2,18,88,,1016.3,3600,Delhi
2/1/2022,17.2,10.2,24.2,29,,1013.3,12660,Delhi
3/1/2022,25.3,17.6,32.9,0,,1009,14700,Delhi
4/1/2022,31.2,22.2,40.2,0,,1004.2,13440,Delhi
5/1/2022,33.1,26,40.1,45,,999.3,7260,Delhi
6/1/2022,33.7,27.2,40.1,25,,997.9,9780,Delhi
7/1/2022,31.2,27,35.5,286,,999.4,7980,Delhi
8/1/2022,30.4,26.4,34.4,41,,1000.2,9660,Delhi
9/1/2022,29.4,24.7,34.2,165,,1003.6,,Delhi
10/1/2022,24.9,18.5,31.4,128,,1010.6,10500,Delhi
11/1/2022,20.5,12.3,28.7,0,,1014.2,9000,Delhi
12/1/2022,15.5,7.5,23.4,0,,1015.7,9660,Delhi
1/1/2023,13.2,6.6,19.7,20,,1017.9,5340,Delhi
2/1/2023,19.5,11.2,27.7,0,,1013.8,13380,Delhi
3/1/2023,23.6,16.2,30.9,54,,1012,11400,Delhi
4/1/2023,27.3,19.4,35.3,16,,1007.7,13740,Delhi
5/1/2023,29.6,22.4,36.8,86,,1004.9,13740,Delhi
6/1/2023,31.5,25.9,37.1,101,,999,11340,Delhi
7/1/2023,30.7,26.7,34.8,383,,999.5,6240,Delhi
8/1/2023,31.1,26.8,35.4,106,,1000.5,9420,Delhi
9/1/2023,30.4,25.3,35.6,83,,1003.5,11040,Delhi
10/1/2023,25.5,18.2,33.4,5,,1011.3,,Delhi
11/1/2023,20.4,13.1,27.8,18,,1015.8,,Delhi
12/1/2023,16.3,8.6,24.1,0,,1017.6,8520,Delhi
1/1/2024,12.3,6.6,18.1,0,,1018.3,2460,Delhi
2/1/2024,16.7,9.3,24.1,32,,1016.7,9840,Delhi
3/1/2024,22.4,14.2,30.5,4,,1012.6,,Delhi
4/1/2024,28.9,20.7,37,7,,1006.5,13860,Delhi
5/1/2024,33.9,26.5,41.4,4,,1001,13860,Delhi
6/1/2024,34.7,28.8,40.6,244,,997.7,8820,Delhi
7/1/2024,31.5,27.6,35.9,203,,996.7,,Delhi
8/1/2024,29.9,25.7,34.2,390,,1001,8040,Delhi
9/1/2024,29.3,24.7,33.8,193,,1003.3,7140,Delhi
10/1/2024,28.2,21.4,35.1,0,,1009.1,12780,Delhi
11/1/2024,22.2,14.7,29.7,0,,1014.3,2520,Delhi
12/1/2024,15.8,8.4,23.2,54,,1016.8,2520,Delhi
1/1/2025,14.6,8.5,20.8,7,,1016.6,7560,Delhi
2/1/2025,19.2,11.6,26.7,1,,1014.7,10800,Delhi
3/1/2025,23.8,15.5,32,18,,1010.7,15780,Delhi
4/1/2025,30.4,21.9,38.9,0.5,,1005,13320,Delhi
5/1/2025,31.4,25.3,37.6,186,,1001.4,10320,Delhi
6/1/2025,32.3,27.1,37.5,107,,998.3,7980,Delhi
7/1/2025,30.3,26.1,34.5,259,,997.4,6720,Delhi
8/1/2025,29.1,25.1,33.2,400,,1001.4,5820,Delhi
9/1/2025,28.8,24,33.6,136,,1004,12060,Delhi
10/1/2025,25.8,20.1,31.6,89,,1010.1,9420,Delhi
11/1/2025,19.6,11.4,27.8,0,,1015.5,8820,Delhi
12/1/2025,15,8.2,23,0,,1017.1,7380,Delhi
1/1/2020,22.3,16.8,29.6,0,,1016.1,12660,Bengaluru
2/1/2020,23.2,17,30.6,0,,1016.3,14100,Bengaluru
3/1/2020,26,20.2,33.1,18,,1014,14160,Bengaluru
4/1/2020,28.5,22.9,34.1,121,,1012.7,12600,Bengaluru
5/1/2020,27.4,21.8,34.1,129,,1010.3,10920,Bengaluru
6/1/2020,24.5,20.2,30.4,116,,1009.8,6120,Bengaluru
7/1/2020,24.1,20.5,29.2,161,,1009.3,5100,Bengaluru
8/1/2020,23.6,19.6,28.6,76,,1010,3900,Bengaluru
9/1/2020,23.2,19.3,28.6,300,,1010.3,4860,Bengaluru
10/1/2020,23.2,18.8,28.5,205,,1011,7200,Bengaluru
11/1/2020,22.3,17.9,27.7,71,,1014.9,9180,Bengaluru
12/1/2020,20.5,15.9,26.5,21,,1015.4,9120,Bengaluru
1/1/2021,21.4,16.3,27.8,21,,1014.7,8640,Bengaluru
